"","Total.All.Revenue","Total.Donations","Total.Ticket.Revenue","X2004.Total.Cost","X2005.Total.Cost","X2006.Total.Cost","X2007.Total.Cost","X2008.Total.Cost","X2009.Total.Cost","X2010.Total.Cost","X2011.Total.Cost","X2012.Total.Cost","X2013.Total.Cost","X2014.Total.Cost","X2015.Total.Cost","X2004.Donation","X2005.Donation","X2006.Donation","X2007.Donation","X2008.Donation","X2009.Donation","X2010.Donation","X2011.Donation","X2012.Donation","X2013.Donation","X2014.Donation","X2015.Donation","KmeansClustering_3.cluster"
"127",374,0,374,0,0,66,37,0,135,42,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"128",116.67,0,116.67,0,0,0,116.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"129",550,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50,50,50,75,75,75,75,3
"130",838,0,838,315,309,132,0,0,40,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"131",37.66,0,37.66,0,0,0,37.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"132",92,0,92,0,0,0,0,50,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"133",126,0,126,0,0,0,0,0,96,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"134",392.75,0,392.75,0,0,10.75,0,0,26,205,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,3
"135",20,0,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"136",173,33,140,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,3
"137",25,0,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"138",517,0,517,0,64,0,66,0,0,96,82,107,0,60,42,0,0,0,0,0,0,0,0,0,0,0,0,3
"139",1276,0,1276,0,32,0,114,82,90,88,70,379,180,135,106,0,0,0,0,0,0,0,0,0,0,0,0,1
"140",30,0,30,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
