"","X2004.Donation","X2005.Donation","X2006.Donation","X2007.Donation","X2008.Donation","X2009.Donation","X2010.Donation","X2011.Donation","X2012.Donation","X2013.Donation","X2014.Donation","KmeansClustering.cluster"
"579",10,0,0,0,0,0,0,0,0,0,0,3
"582",0,50,50,100,100,100,100,200,0,0,0,3
"587",0,0,0,0,0,0,0,0,0,0,150,3
"591",50,50,0,50,0,0,50,0,25,0,0,3
"592",0,50,0,0,0,0,0,0,0,0,0,3
"606",200,200,100,200,200,200,100,0,0,0,0,2
"611",0,0,50,50,75,0,50,50,25,0,0,3
"622",0,156,300,100,200,250,150,0,0,0,0,2
"626",0,0,0,0,0,0,0,0,200,0,0,3
"636",51,26,15,23,26,21,25,11,0,9,0,3
"639",50,50,0,100,100,100,125,125,150,150,150,3
"646",0,25,0,0,0,0,0,0,0,0,0,3
"662",0,0,0,0,0,0,0,0,0,0,250,3
"663",0,0,0,50,100,0,0,0,0,0,0,3
"667",0,0,0,0,0,0,0,0,0,0,165,3
"668",0,0,0,0,0,0,0,0,0,0,250,3
"677",75,75,75,120,0,0,0,0,0,0,0,3
"678",0,0,0,0,20,125,25,100,0,100,0,3
"704",0,0,0,15,0,50,0,0,0,0,0,3
"705",50,100,100,100,100,100,100,100,200,200,200,3
"707",0,0,0,0,0,3,0,0,0,0,0,3
"718",0,0,0,0,0,0,0,0,10,0,0,3
"723",17,30,0,1,0,0,0,0,0,0,0,3
"739",0,0,100,100,100,100,100,100,100,0,100,3
"755",0,0,0,0,0,0,0,0,0,0,0,3
"758",50,0,0,50,0,0,50,50,0,0,0,3
"767",250,250,249,249,0,0,250,0,0,0,0,2
"771",50,50,110,50,0,0,0,200,50,0,0,3
"773",0,0,0,0,0,5,0,0,0,0,0,3
"793",0,0,0,0,0,0,100,145,100,50,100,3
"809",300,300,100,115,145,250,250,100,0,0,0,2
"810",250,500,0,0,0,0,0,0,0,0,0,3
"814",0,0,0,0,0,0,0,0,50,250,3550,1
"819",100,100,125,100,100,100,100,100,0,0,0,3
"823",54,50,0,50,100,0,50,50,75,50,50,3
"828",0,0,0,0,0,1,0,0,0,0,0,3
"832",0,0,0,0,0,0,0,0,0,0,0,3
"847",0,0,0,15,0,0,20,50,0,10,0,3
"849",0,0,0,0,0,0,100,0,0,0,250,3
"852",25,200,0,250,300,150,75,0,0,0,0,3
"856",50,100,125,150,300,300,250,150,160,250,250,2
"866",100,100,100,100,100,101,100,100,100,100,100,3
"868",100,100,100,0,0,0,0,0,0,0,0,3
"887",0,0,0,0,0,0,15,0,0,0,0,3
"896",0,0,0,0,0,0,0,0,25,0,50,3
"899",200,100,0,0,0,0,0,0,0,250,100,3
"903",50,50,65,65,65,50,25,25,25,0,0,3
"924",0,0,0,0,0,0,0,0,5,0,0,3
"946",0,0,0,0,0,200,0,0,0,0,0,3
"950",0,25,25,0,0,0,0,0,0,100,0,3
"971",0,100,0,15,125,150,150,300,200,100,100,3
"975",0,0,0,0,0,25,25,0,0,0,0,3
"985",0,0,0,0,0,25,0,0,0,0,0,3
"986",0,0,25,0,20,0,0,0,0,0,0,3
"1001",50,50,50,50,0,50,50,50,75,50,0,3
"1008",0,0,0,0,0,0,0,0,0,0,0,3
"1015",0,100,0,0,0,0,0,0,0,0,0,3
"1030",750,1050,1050,1050,0,0,0,0,0,0,0,2
"1051",100,100,115,150,170,25,25,37,67,61,49,3
"1052",0,0,0,0,0,0,0,0,0,0,0,3
"1055",0,0,0,0,0,0,0,0,0,30,0,3
"1059",0,0,0,50,0,0,0,0,0,100,0,3
"1060",1.5,0,0,0,10,50,75,25,25,0,0,3
"1068",0,0,0,0,0,250,150,0,150,0,0,3
"1070",1000,500,500,500,500,100,0,0,0,0,0,2
"1079",0,0,0,0,0,200,0,0,0,0,0,3
"1099",300,200,100,0,0,0,0,0,0,100,0,3
"1102",0,0,0,0,10,0,0,0,0,0,0,3
"1105",0,0,0,0,0,0,25,25,25,25,25,3
"1121",500,500,600,500,500,500,500,0,0,0,0,2
"1123",0,0,0,0,0,0,0,100,0,0,0,3
"1136",0,0,0,0,0,0,2,0,0,0,0,3
"1151",50,50,50,50,50,0,0,0,0,0,0,3
