Patron #,Total All Revenue,Total Donations,Total Ticket Revenue,2004 Total Cost,2005 Total Cost,2006 Total Cost,2007 Total Cost,2008 Total Cost,2009 Total Cost,2010 Total Cost,2011 Total Cost,2012 Total Cost,2013 Total Cost,2014 Total Cost,2015 Total Cost,2004 Donation,2005 Donation,2006 Donation,2007 Donation,2008 Donation,2009 Donation,2010 Donation,2011 Donation,2012 Donation,2013 Donation,2014 Donation,2015 Donation
1559,1184,650,534,150,108,132,144,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,50,100,100,0
1565,3601.34,3300,301.34,0,27.67,30.67,50,0,74,63,0,56,0,0,0,525,525,600,525,525,600,0,0,0,0,0,0
1566,3183,650,2533,0,0,0,0,89,0,186,106,468,496,528,660,0,0,0,0,50,50,100,50,100,100,100,100
1568,336,250,86,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0
1570,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
1586,3310.6,325,2985.6,185,160,205,207,234,274,244,333,322,230,286,305.6,25,200,15,15,20,25,25,0,0,0,0,0
1587,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
1588,4043,1453,2590,448,0,457,214,237,334,0,480,420,0,0,0,233,200,250,100,120,125,100,125,100,0,100,0
1589,725,725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,100,100,0,100,0,100,100,100,100
1590,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
1593,281,50,231,231,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0
1595,205,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,80,50,50,0,0,0,0,0,0
1599,5036,1700,3336,260,522,308,128,68,323,318,262,300,447,196,204,100,100,100,100,200,200,400,100,100,100,100,100
1602,543.9,250,293.9,76,45.4,172.5,0,0,0,0,0,0,0,0,0,0,0,50,50,50,50,50,0,0,0,0,0
1603,267,175,92,0,0,0,0,0,0,0,0,0,0,0,92,75,100,0,0,0,0,0,0,0,0,0,0
1604,1438,115,1323,300,220,186,239,0,288,0,0,0,90,0,0,100,0,0,15,0,0,0,0,0,0,0,0
1607,4606,450,4156,311,270,272,280,316,378,409,360,370,370,376,444,150,150,0,125,0,0,25,0,0,0,0,0
1609,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0
1617,314,200,114,0,32,0,0,82,0,0,0,0,0,0,0,0,50,75,75,0,0,0,0,0,0,0,0
1618,1293.67,975,318.67,59.34,55.33,0,0,0,0,0,0,0,0,204,0,0,100,75,100,0,125,100,75,25,150,100,125
1620,382,300,82,0,0,0,43,39,0,0,0,0,0,0,0,50,50,50,50,50,50,0,0,0,0,0,0
1621,1250,181,1069,184,184,247,256,198,0,0,0,0,0,0,0,50,100,15,16,0,0,0,0,0,0,0,0
1626,1204,200,1004,496,60,84,204,0,160,0,0,0,0,0,0,50,50,50,50,0,0,0,0,0,0,0,0
1627,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0
